State Name,State ID,Constituency,Constituency Link
ANDAMAN AND NICOBAR ISLANDS,1,ALL CONSTITUENCIES,index.php?action=show_constituencies&state_id=1
ANDAMAN AND NICOBAR ISLANDS,1,ANDAMAN AND NICOBAR ISLANDS,index.php?action=show_candidates&constituency_id=579
ANDHRA PRADESH,2,ALL CONSTITUENCIES,index.php?action=show_constituencies&state_id=2
ANDHRA PRADESH,2,AMALAPURAM (SC),index.php?action=show_candidates&constituency_id=7
ANDHRA PRADESH,2,ANAKAPALLE,index.php?action=show_candidates&constituency_id=5
ANDHRA PRADESH,2,ANANTHAPUR,index.php?action=show_candidates&constituency_id=20
ANDHRA PRADESH,2,ARAKU (ST),index.php?action=show_candidates&constituency_id=1
ANDHRA PRADESH,2,BAPATLA (SC),index.php?action=show_candidates&constituency_id=16
ANDHRA PRADESH,2,CHITTOOR (SC),index.php?action=show_candidates&constituency_id=26
ANDHRA PRADESH,2,ELURU,index.php?action=show_candidates&constituency_id=10
ANDHRA PRADESH,2,GUNTUR,index.php?action=show_candidates&constituency_id=13
ANDHRA PRADESH,2,HINDUPUR,index.php?action=show_candidates&constituency_id=21
ANDHRA PRADESH,2,KADAPA,index.php?action=show_candidates&constituency_id=22
ANDHRA PRADESH,2,KAKINADA,index.php?action=show_candidates&constituency_id=6
ANDHRA PRADESH,2,KURNOOL,index.php?action=show_candidates&constituency_id=19
ANDHRA PRADESH,2,MACHILIPATNAM,index.php?action=show_candidates&constituency_id=11
ANDHRA PRADESH,2,NANDYAL,index.php?action=show_candidates&constituency_id=18
ANDHRA PRADESH,2,NARSAPURAM,index.php?action=show_candidates&constituency_id=9
ANDHRA PRADESH,2,NARSARAOPET,index.php?action=show_candidates&constituency_id=14
ANDHRA PRADESH,2,NELLORE,index.php?action=show_candidates&constituency_id=23
ANDHRA PRADESH,2,ONGOLE,index.php?action=show_candidates&constituency_id=17
ANDHRA PRADESH,2,RAJAHMUNDRY,index.php?action=show_candidates&constituency_id=8
ANDHRA PRADESH,2,RAJAMPET,index.php?action=show_candidates&constituency_id=25
ANDHRA PRADESH,2,SRIKAKULAM,index.php?action=show_candidates&constituency_id=2
ANDHRA PRADESH,2,THIRUPATHI (SC),index.php?action=show_candidates&constituency_id=24
ANDHRA PRADESH,2,VIJAYAWADA,index.php?action=show_candidates&constituency_id=12
ANDHRA PRADESH,2,VISAKHAPATNAM,index.php?action=show_candidates&constituency_id=4
ANDHRA PRADESH,2,VIZIANAGARAM,index.php?action=show_candidates&constituency_id=3
ARUNACHAL PRADESH,3,ALL CONSTITUENCIES,index.php?action=show_constituencies&state_id=3
ARUNACHAL PRADESH,3,ARUNACHAL EAST,index.php?action=show_candidates&constituency_id=29
ARUNACHAL PRADESH,3,ARUNACHAL WEST,index.php?action=show_candidates&constituency_id=28
ASSAM,4,ALL CONSTITUENCIES,index.php?action=show_constituencies&state_id=4
ASSAM,4,BARPETA,index.php?action=show_candidates&constituency_id=42
ASSAM,4,DARRANG-UDALGURI,index.php?action=show_candidates&constituency_id=35
ASSAM,4,DHUBRI,index.php?action=show_candidates&constituency_id=41
ASSAM,4,DIBRUGARH,index.php?action=show_candidates&constituency_id=33
ASSAM,4,DIPHU (ST),index.php?action=show_candidates&constituency_id=36
ASSAM,4,GUWAHATI,index.php?action=show_candidates&constituency_id=43
ASSAM,4,JORHAT,index.php?action=show_candidates&constituency_id=34
ASSAM,4,KARIMGANJ,index.php?action=show_candidates&constituency_id=37
ASSAM,4,KAZIRANGA,index.php?action=show_candidates&constituency_id=30
ASSAM,4,KOKRAJHAR (ST),index.php?action=show_candidates&constituency_id=40
ASSAM,4,LAKHIMPUR,index.php?action=show_candidates&constituency_id=32
ASSAM,4,NAGAON,index.php?action=show_candidates&constituency_id=39
ASSAM,4,SILCHAR (SC),index.php?action=show_candidates&constituency_id=38
ASSAM,4,SONITPUR,index.php?action=show_candidates&constituency_id=31
BIHAR,5,ALL CONSTITUENCIES,index.php?action=show_constituencies&state_id=5
BIHAR,5,ARARIA,index.php?action=show_candidates&constituency_id=56
BIHAR,5,ARRAH,index.php?action=show_candidates&constituency_id=82
BIHAR,5,AURANGABAD,index.php?action=show_candidates&constituency_id=45
BIHAR,5,BANKA,index.php?action=show_candidates&constituency_id=53
BIHAR,5,BEGUSARAI,index.php?action=show_candidates&constituency_id=63
BIHAR,5,BHAGALPUR,index.php?action=show_candidates&constituency_id=52
BIHAR,5,BUXAR,index.php?action=show_candidates&constituency_id=83
BIHAR,5,DARBHANGA,index.php?action=show_candidates&constituency_id=60
BIHAR,5,GAYA (SC),index.php?action=show_candidates&constituency_id=46
BIHAR,5,GOPALGANJ (SC),index.php?action=show_candidates&constituency_id=76
BIHAR,5,HAJIPUR (SC),index.php?action=show_candidates&constituency_id=69
BIHAR,5,JAHANABAD,index.php?action=show_candidates&constituency_id=86
BIHAR,5,JAMUI (SC),index.php?action=show_candidates&constituency_id=48
